timestamp,iso_time,TimeSampling,bmsVolts,bmsTemp,bmsCurrent,bmsSOC,engineTemp,ECUBattV,speed,RPM,throttle,steering,HyStatus,Gear,RawBrake,imuAx,imuAy,imuAz,imuGx,imuGy,imuGz,susp1Raw,susp2Raw,susp3Raw,susp4Raw,rpmPa15,rpmPb3,rpmPb5,rpmPb8,vescRpmLeft,vescRpmRight,apps1,apps2,pedal,duty,leftMotor,rightMotor
1777977884996,2026-05-05T10:44:44.996Z,31200,46,48,74,66,87,13,102,10619,81,61,1,1,3955,41,50,99,356,376,343,3755,3766,3738,3792,956,829,884,802,3711,3419,2808,2607,56,49,-61,-117
1777977885105,2026-05-05T10:44:45.105Z,31300,48,51,74,64,92,14,119,11022,85,72,1,1,3729,48,48,101,345,391,334,4071,3707,3552,3684,842,799,761,742,3807,3301,2419,2310,54,43,-40,-85
1777977885214,2026-05-05T10:44:45.214Z,31400,48,54,81,69,89,14,124,11419,92,77,1,1,4046,53,46,90,331,374,306,3988,3543,3672,3521,859,844,761,711,3433,3141,2449,1987,51,38,-81,-191
1777977885322,2026-05-05T10:44:45.322Z,31500,49,59,105,78,93,14,123,11523,92,97,1,1,4138,46,45,106,364,350,305,3752,3495,3410,3276,832,796,718,636,3159,2952,1930,2040,43,35,-190,-207
1777977885431,2026-05-05T10:44:45.431Z,31600,50,60,119,79,102,14,133,11690,97,94,1,1,3958,45,51,105,370,344,310,3704,3340,3259,3143,791,678,699,676,2860,2750,1951,1894,38,29,-168,-287
1777977885539,2026-05-05T10:44:45.539Z,31700,49,62,133,85,102,14,136,12043,94,102,1,1,3941,51,46,102,328,331,294,3380,3390,3234,2915,740,711,655,610,2893,2435,1617,1560,34,28,-237,-291
1777977885648,2026-05-05T10:44:45.648Z,31800,50,68,143,83,106,14,138,11938,102,90,1,1,3824,50,42,96,332,261,261,3194,3263,3230,3058,658,588,549,492,2252,2051,1684,1477,29,19,-273,-303
1777977885757,2026-05-05T10:44:45.757Z,31900,51,71,146,89,112,14,137,12119,95,109,1,1,3975,49,42,86,259,278,217,3348,2873,2887,2564,666,529,524,462,1932,2042,1274,1122,22,16,-371,-335
1777977885867,2026-05-05T10:44:45.867Z,32000,52,71,161,90,114,14,153,12584,102,92,1,2,3806,43,45,72,295,219,211,3088,2814,2828,2683,543,554,475,455,1779,1444,1154,770,15,20,-372,-392
1777977885976,2026-05-05T10:44:45.976Z,32100,52,71,161,90,117,14,143,13258,95,97,1,2,4029,45,38,79,268,244,160,3027,2548,2531,2482,498,440,458,359,1583,1293,1149,971,12,12,-374,-422
1777977886085,2026-05-05T10:44:46.085Z,32200,52,75,194,98,114,14,152,13523,95,106,1,2,3658,38,36,71,250,194,131,2517,2572,2466,2094,475,478,396,287,1532,1029,979,780,10,13,-450,-502
1777977886194,2026-05-05T10:44:46.194Z,32300,53,79,201,96,121,15,146,12727,102,97,1,2,3711,37,29,62,210,130,124,2581,2312,2111,2009,406,400,337,319,1426,1086,531,495,10,9,-405,-480
1777977886301,2026-05-05T10:44:46.301Z,32400,53,80,180,100,122,15,150,12504,101,96,1,2,3505,37,29,46,193,97,90,2438,2310,2075,1915,354,339,284,201,1234,890,547,298,6,4,-431,-527
1777977886410,2026-05-05T10:44:46.410Z,32500,54,79,208,101,123,14,142,12291,92,96,1,2,3272,27,30,43,92,126,60,1948,1986,1744,1598,290,245,244,177,674,591,493,266,5,-1,-474,-475
1777977886519,2026-05-05T10:44:46.519Z,32600,55,82,209,96,117,15,146,12400,90,81,1,2,3306,27,26,33,99,33,12,1901,1527,1529,1170,318,229,194,144,703,701,121,37,0,2,-483,-528
1777977886628,2026-05-05T10:44:46.628Z,32700,54,78,201,96,115,14,137,11848,89,70,1,2,3191,25,18,23,38,39,15,1771,1600,1376,1021,232,159,127,80,238,544,365,-43,0,0,-531,-470
1777977886736,2026-05-05T10:44:46.736Z,32767,55,77,211,96,114,14,144,11516,92,67,1,2,2778,16,8,11,-4,-33,-53,1477,1403,1096,1054,188,196,97,99,582,326,146,228,-1,0,-532,-444
1777977886843,2026-05-05T10:44:46.843Z,32767,54,79,199,98,111,14,136,11535,84,67,1,2,2501,9,4,11,-39,-68,-99,1374,1254,1007,803,129,115,104,38,73,106,241,-35,-3,2,-475,-479
1777977886952,2026-05-05T10:44:46.952Z,32767,55,76,198,91,110,14,128,10407,78,61,1,2,2642,10,6,5,-68,-81,-114,1019,770,830,738,110,76,89,77,-33,-100,-137,54,3,4,-457,-439
1777977887060,2026-05-05T10:44:47.060Z,32767,55,80,202,89,108,14,122,10565,71,47,1,2,2372,0,2,-10,-116,-153,-186,800,868,640,642,119,77,45,-9,174,-126,-166,3,0,-2,-428,-468
1777977887170,2026-05-05T10:44:47.170Z,32767,54,77,189,95,104,14,125,10566,74,38,1,2,2267,-2,-8,-31,-96,-136,-209,693,637,702,322,77,49,44,1,151,88,187,8,0,7,-433,-469
1777977887279,2026-05-05T10:44:47.279Z,32767,54,75,161,86,105,14,112,9580,70,17,1,2,2016,-9,-11,-32,-181,-213,-181,751,503,207,79,48,76,25,-25,-160,-129,-99,219,7,9,-416,-400
1777977887387,2026-05-05T10:44:47.387Z,32767,54,74,149,88,102,14,110,8711,65,24,1,2,1531,-9,-17,-41,-154,-194,-240,632,259,146,366,75,47,2,-20,-204,-62,-69,227,6,10,-361,-339
1777977887498,2026-05-05T10:44:47.498Z,32767,53,75,143,85,91,14,98,7874,54,8,1,2,1618,-15,-25,-55,-190,-245,-287,377,144,164,168,48,-37,-32,22,-80,-73,-36,152,4,13,-314,-285
1777977887607,2026-05-05T10:44:47.607Z,32767,53,72,152,75,94,14,97,7449,50,-8,1,2,1397,-17,-29,-69,-233,-286,-312,212,147,10,-89,-21,-42,-7,-34,-97,-47,371,361,14,11,-366,-307
1777977887715,2026-05-05T10:44:47.715Z,32767,52,66,134,73,84,13,82,6549,47,-17,1,2,1043,-27,-28,-60,-289,-288,-329,380,115,184,4,-32,-39,8,44,351,483,382,459,16,20,-240,-240
1777977887824,2026-05-05T10:44:47.824Z,32767,52,63,120,71,83,13,79,6258,42,-25,1,2,978,-25,-36,-81,-271,-298,-328,-4,78,-153,-170,-20,-27,-25,14,303,390,395,680,19,17,-189,-218
1777977887933,2026-05-05T10:44:47.933Z,32767,51,63,105,68,78,13,65,5306,37,-25,1,2,609,-33,-42,-82,-310,-306,-316,-119,-22,-87,204,22,22,9,75,286,410,436,746,25,22,-182,-190
1777977888042,2026-05-05T10:44:48.042Z,32767,51,60,75,59,72,13,60,5279,37,-41,1,3,608,-39,-41,-88,-311,-347,-315,167,176,-14,91,-15,14,40,43,303,611,550,1034,24,27,-192,-80
